Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV2133;South Georgia;G廩rgie du Sud;South Georgia;;Georgia del Sur;;;;;;;;;
PROV2134;A蔞res;;;;;;;;;;;;;
PROV2135;Madeira;Mad鋨e;Madeira;;Madeira;;;;;;;;;
PROV2136;Canary Islands;姤es Canaries;Kanarische Inseln;;Islas Canarias;;;;;;;;;
PROV2138;Loreto;Loreto;Loreto;;Loreto;;;;;;;;;
PROV2139;Rosarito;Rosarito;Rosarito;;Rosarito;;;;;;;;;
PROV2141;Guaymas;Guaymas;Guaymas;;Guaymas;;;;;;;;;
PROV2142;Chihuahua;Chihuahua;Chihuahua;;Chihuahua;;;;;;;;;
PROV2144;Delicias;Delicias;Delicias;;Delicias;;;;;;;;;
PROV2145;Parral;Parral;Parral;;Parral;;;;;;;;;
PROV2149;Matamoros;Matamoros;Matamoros;;Matamoros;;;;;;;;;
PROV2150;Ciudad Victoria;Ciudad Victoria;Ciudad Victoria;;Ciudad Victoria;;;;;;;;;
PROV2151;Matamoros;Saltillo;Saltillo;;Saltillo;;;;;;;;;
PROV2152;Monclova;Monclova;Monclova;;Monclova;;;;;;;;;
PROV2153;Durango;Durango;Durango;;Durango;;;;;;;;;
PROV2154;Santa Mar燰 del Oro;Santa Maria del Oro;Santa Maria del Oro;;Santa Maria del Oro;;;;;;;;;
PROV2155;Torre鏮;Torre鏮;Torreon;;Torre鏮;;;;;;;;;
PROV2156;Mazatl嫕;Mazatl嫕;Mazatlan;;Mazatl嫕;;;;;;;;;
PROV2157;Culiac嫕;Culiac嫕;Culiacan;;Culiac嫕;;;;;;;;;
PROV2158;Zacatecas;Zacatecas;Zacatecas;;Zacatecas;;;;;;;;;
PROV2159;San Luis Potos?San Luis Potosi;San Luis Potosi;;San Luis Potos?;;;;;;;;
PROV2160;Aguascalientes;Aguascalientes;Aguascalientes;;Aguascalientes;;;;;;;;;
PROV2161;Tepic;Tepic;Tepic;;Tepic;;;;;;;;;
PROV2162;Veracruz;Veracruz;Veracruz;;Veracruz;;;;;;;;;
PROV2163;Tampico;Tampico;Tampico;;Tampico;;;;;;;;;
PROV2164;Minatitl嫕;Minatitl嫕;Minatitlan;;Minatitl嫕;;;;;;;;;
PROV2165;Villahermosa;Villahermosa;Villahermosa;;Villahermosa;;;;;;;;;
PROV2166;Guadalajara;Guadalajara;Guadalajara;;Guadalajara;;;;;;;;;
PROV2167;Guanajuato;Guanajuato;Guanajuato;;Guanajuato;;;;;;;;;
PROV2168;Las Pe鎙s;Las Pe鎙s;Las Pe鎙s;;Las Pe鎙s;;;;;;;;;
PROV2169;Colima;Colima;Colima;;Colima;;;;;;;;;
PROV2170;Morelia;Morelia;Morelia;;Morelia;;;;;;;;;
PROV2172;Mexico City;Mexico;Mexico City;;Ciudad de M憖ico;;;;;;;;;
PROV2173;Quer彋aro;Quer彋aro;Queretaro;;Queretaro;;;;;;;;;
PROV2174;Toluca;Toluca;Toluca;;Toluca;;;;;;;;;
PROV2175;Tulancingo;Tulancingo;Tulancingo;;Tulancingo;;;;;;;;;
PROV2176;Puebla;Puebla;Puebla;;Puebla;;;;;;;;;
PROV2177;Oaxaca;Oaxaca;Oaxaca;;Oaxaca;;;;;;;;;
PROV2178;Huatulco;Collataro;Collataro;;Collataro;;;;;;;;;
PROV2179;Acapulco;Acapulco;Acapulco;;Acapulco;;;;;;;;;
PROV2180;Chilpancingo;Chilpancingo;Chilpancingo;;Chilpancingo;;;;;;;;;
PROV2181;Tuxtla;Tuxtla;Tuxtla;;Tuxtla;;;;;;;;;
PROV2182;Soconusco;Tapachula;Tapachula;;Tapachula;;;;;;;;;
PROV2183;M廨ida;Merida;Merida;;M廨ida;;;;;;;;;
PROV2184;Campeche;Campeche;Campeche;;Campeche;;;;;;;;;
PROV2185;Bacalar;Bacalar;Bacalar;;Bacalar;;;;;;;;;
PROV2188;Puerto Barrios;Puerto Barrios;Puerto Barrios;;Puerto Barrios;;;;;;;;;
PROV2189;Sayaxch?Sayaxche;Sayaxche;;Sayaxche;;;;;;;;;
PROV2190;Belize;Belize;Belize;;Belice;;;;;;;;;
PROV2191;San Salvador;San Salvador;San Salvador;;San Salvador;;;;;;;;;
PROV2192;San Miguel;San Miguel;San Miguel;;San Miguel;;;;;;;;;
PROV2193;San Pedro Sula;San Pedro Sula;San Pedro Sula;;San Pedro Sula;;;;;;;;;
PROV2194;Comayagua;Comayagua;Comayagua;;Comayagua;;;;;;;;;
PROV2195;La Ceiba;La Ceiba;La Ceiba;;La Ceiba;;;;;;;;;
PROV2197;Managua;Managua;Managua;;Managua;;;;;;;;;
PROV2198;Rivas;Rivas;Rivas;;Rivas;;;;;;;;;
PROV2199;Le鏮;Le鏮;Le鏮;;Le鏮;;;;;;;;;
PROV2200;Bluefields;Bluefields;Bluefields;;Bluefields;;;;;;;;;
PROV2201;San Jos?San Jose;San Jose;;San Jos?;;;;;;;;
PROV2202;Liberia;Lib廨ia;Liberia;;Liberia;;;;;;;;;
PROV2203;Lim鏮;Limon;Limon;;Lim鏮;;;;;;;;;
PROV2204;Panama City;Panam?Panama City;;Ciudad de Panam?;;;;;;;;
PROV2205;David;David;David;;David;;;;;;;;;
PROV2206;Penonom?Penonom?Penonome;;Penonom?;;;;;;;;
PROV2207;Sainshand;Sainshand;Sainshand;;Sainshand;;;;;;;;;
PROV2208;Yaviza;Yaviza;Yaviza;;Yaviza;;;;;;;;;
PROV2209;Havana;La Havane;Havana;;La Habana;;;;;;;;;
PROV2210;Jagua;Jagua;Jagua;;Jagua;;;;;;;;;
PROV2211;Camagy;Camaguey;Camaguey;;Camagy;;;;;;;;;
PROV2212;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;;Santiago de Cuba;;;;;;;;;
PROV2213;Port Au Prince;Port-au-Prince;Port Au Prince;;Puerto Pr璯cipe;;;;;;;;;
PROV2214;Saint-Domingue;Saint-Domingue;Saint-Domingue;;Saint-Domingue;;;;;;;;;
PROV2215;Cap-Ha鮠ien;Cap-Ha鮠ien;Cap Haitien;;Cap Haitien;;;;;;;;;
PROV2216;Saint-Jacques;Saint-Jacques;Saint-Jacques;;Saint-Jacques;;;;;;;;;
PROV2217;Jamaica;Jama鮤ue;Jamaica;;Jamaica;;;;;;;;;
PROV2218;Cayman Islands;姤es Ca鮛an;Cayman-Inseln;;Islas Caimanes;;;;;;;;;
PROV2219;Bahamas;Bahamas;Bahamas;;Bahamas;;;;;;;;;
PROV2221;Nanjing;Nanjing;Nanjing;;Nanjing;;;;;;;;;
PROV2222;Puerto Rico;Puerto Rico;Puerto Rico;;Puerto Rico;;;;;;;;;
PROV2223;Saint Thomas;Saint Thomas;Saint Thomas;;Santo Tom嫳;;;;;;;;;
PROV2225;Montserrat;Montserrat;Montserrat;;Montserrat;;;;;;;;;
PROV2226;Tortola;Tortola;Tortola;;Tortola;;;;;;;;;
PROV2227;Saint Kitts;Saint-Kitts;Saint Kitts;;Saint Kitts;;;;;;;;;
PROV2228;Martinique;Martinique;Martinique;;Martinica;;;;;;;;;
PROV2229;Barbados;La Barbade;Barbados;;Barbados;;;;;;;;;
PROV2230;Guadeloupe;Guadeloupe;Guadeloupe;;Guadalupe;;;;;;;;;
PROV2231;Saint Lucia;Sainte-Lucie;Saint Lucia;;Santa Luc燰;;;;;;;;;
PROV2232;Dominica;Dominique;Dominica;;Dominica;;;;;;;;;
PROV2233;Grenada;Grenadie;Grenada;;Granada;;;;;;;;;
PROV2234;Curacao;Cura蓷o;Curacao;;Cura蓷o;;;;;;;;;
PROV2235;Aruba;Aruba;Aruba;;Aruba;;;;;;;;;
PROV2237;Trinidad;Trinidad;Trinidad;;Trinidad;;;;;;;;;
PROV2238;Tobago;Tobago;Tobago;;Tobago;;;;;;;;;
PROV2239;Georgetown;Georgetown;Georgetown;;Georgetown;;;;;;;;;
PROV2240;Paramaribo;Paramaribo;Paramaribo;;Paramaribo;;;;;;;;;
PROV2241;Cayenne;Cayenne;Cayenne;;Cayena;;;;;;;;;
PROV2242;Mahdia;Mahdia;Mahdia;;Maihia;;;;;;;;;
PROV2243;Essequibo;Essequibo;Essequibo;;Essequibo;;;;;;;;;
PROV2245;Apetina;Apetina;Apetina;;Apetina;;;;;;;;;
PROV2246;Maripasoula;Maripasoula;Maripasoula;;Maripasoula;;;;;;;;;
PROV2247;Bogot?Bogota;Bogota;;Bogot?;;;;;;;;
PROV2248;Ibagu?Ibagu?Ibagu?;Ibagu?;;;;;;;;
PROV2249;Tunja;Tunja;Tunja;;Tunja;;;;;;;;;
PROV2250;Manizales;Manizales;Manizales;;Manizales;;;;;;;;;
PROV2251;Cuta;Cucuta;Cucuta;;Cucuta;;;;;;;;;
PROV2252;Medell璯;Medell璯;Medellin;;Medell璯;;;;;;;;;
PROV2253;Quibd?Quibdo;Quibdo;;Quibd?;;;;;;;;
PROV2254;Cartagena de Indias;Cartagena de Indias;Cartagena de Indias;;Cartagena de Indias;;;;;;;;;
PROV2255;Barranquilla;Barranquilla;Barranquilla;;Barranquilla;;;;;;;;;
PROV2256;Cali;Cali;Cali;;Cali;;;;;;;;;
PROV2257;Popay嫕;Popay嫕;Popayan;;Popay嫕;;;;;;;;;
PROV2258;Buenaventura;Buenaventura;Buenaventura;;Buenaventura;;;;;;;;;
PROV2259;Pasto;Pasto;Pasto;;Pasto;;;;;;;;;
PROV2260;San Jos?del Guaviare;San Jos?del Guaviare;San Jose del Guaviare;;San Jose del Guaviare;;;;;;;;;
PROV2261;Obando;Obando;Obando;;Obando;;;;;;;;;
PROV2262;Casanare;Casanare;Casanare;;Casanare;;;;;;;;;
PROV2263;El Encanto;El Encanto;El Encanto;;El Encanto;;;;;;;;;
PROV2264;Caracas;Caracas;Caracas;;Caracas;;;;;;;;;
PROV2265;Guanare;Guanare;Guanare;;Guanare;;;;;;;;;
PROV2266;Calabozo;Calabozo;Calabozo;;Calabozo;;;;;;;;;
PROV2267;Cuman?Cumana;Cumana;;Cuman?;;;;;;;;
PROV2268;San Felipe;San Felipe;San Felipe;;San Felipe;;;;;;;;;
PROV2269;Gria;Guiria;Guiria;;Guiria;;;;;;;;;
PROV2270;Maracaibo;Maracaibo;Maracaibo;;Maracaibo;;;;;;;;;
PROV2271;Valera;Valera;Valera;;Valera;;;;;;;;;
PROV2272;Coro;Coro;Coro;;Coro;;;;;;;;;
PROV2273;Barquisimeto;Barquisimeto;Barquisimeto;;Barquisimeto;;;;;;;;;
PROV2274;Barinas;Barinas;Barinas;;Barinas;;;;;;;;;
PROV2275;Angostura;Angostura;Angostura;;Angostura;;;;;;;;;
PROV2276;Curiapo;Curiapo;Curiapo;;Curiapo;;;;;;;;;
PROV2277;El Jobal;El Jobal;El Jobal;;El Jobal;;;;;;;;;
PROV2278;San Fernando de Atabapo;San Fernando de Atabapo;San Fernando de Atabapo;;San Fernando de Atabapo;;;;;;;;;
PROV2279;Quito;Quito;Quito;;Quito;;;;;;;;;
PROV2280;Guayaquil;Guayaquil;Guayaquil;;Guayaquil;;;;;;;;;
PROV2282;Loja;Loja;Loja;;Loja;;;;;;;;;
PROV2283;Zamora;Zamora;Zamora;;Zamora;;;;;;;;;
PROV2284;Tena;Tena;Tena;;Tena;;;;;;;;;
PROV2285;Gal嫚agos;Galapagos;Galapagos;;Gal嫚agos;;;;;;;;;
PROV2286;Iquitos;Iquitos;Iquitos;;Iquitos;;;;;;;;;
PROV2287;Yurimaguas;Yurimaguas;Yurimaguas;;Yurimaguas;;;;;;;;;
PROV2288;Yuncos;Yuncos;Yuncos;;Yuncos;;;;;;;;;
PROV2289;Puca Urco;Puca Urco;Puca Urco;;Puca Urco;;;;;;;;;
PROV2290;Tarapoto;Tarapoto;Tarapoto;;Tarapoto;;;;;;;;;
PROV2291;Tumbes;Tumbes;Tumbes;;Tumbes;;;;;;;;;
PROV2292;Trujillo;Trujillo;Trujillo;;Trujillo;;;;;;;;;
PROV2293;Hu嫕uco;Huanuco;Huanuco;;Huanuco;;;;;;;;;
PROV2294;Moyobamba;Moyobamba;Moyobamba;;Moyobamba;;;;;;;;;
PROV2295;Lima;Lima;Lima;;Lima;;;;;;;;;
PROV2296;Huancayo;Huancayo;Huancayo;;Huancayo;;;;;;;;;
PROV2297;Ica;Ica;Ica;;Ica;;;;;;;;;
PROV2298;Huaraz;Huaraz;Huaraz;;Huaraz;;;;;;;;;
PROV2299;Ayacucho;Ayacucho;Ayacucho;;Ayacucho (PER);;;;;;;;;
PROV2300;Pucallpa;Pucallpa;Pucallpa;;Pucallpa;;;;;;;;;
PROV2301;Puerto Maldonado;Puerto Maldonado;Puerto Maldonado;;Puerto Maldonado;;;;;;;;;
PROV2302;Cusco;Cusco;Cusco;;Cusco;;;;;;;;;
PROV2303;Puno;Puno;Puno;;Puno;;;;;;;;;
PROV2304;Arequipa;Arequipa;Arequipa;;Arequipa;;;;;;;;;
PROV2305;Antofagasta;Antofagasta;Antofagasta;;Antofagasta;;;;;;;;;
PROV2306;Sorocaba;Sorocaba;Sorocaba;;Sorocaba;;;;;;;;;
PROV2307;Iquique;Iquique;Iquique;;Iquique;;;;;;;;;
PROV2308;Arica;Arica;Arica;;Arica;;;;;;;;;
PROV2309;Calama;Calama;Calama;;Calama;;;;;;;;;
PROV2310;La Paz;La Paz;La Paz;;La Paz;;;;;;;;;
PROV2311;Cochabamba;Cochabamba;Cochabamba;;Cochabamba;;;;;;;;;
PROV2312;Oruro;Oruro;Oruro;;Oruro;;;;;;;;;
PROV2313;Chuquisaca;Chuquisaca;Chuquisaca;;Chuquisaca;;;;;;;;;
PROV2314;Potos?Potosi;Potosi;;Potos?;;;;;;;;
PROV2315;Tarija;Tarija;Tarija;;Tarija;;;;;;;;;
PROV2316;Santa Cruz;Santa Cruz;Santa Cruz;;Santa Cruz;;;;;;;;;
PROV2317;San Ignacio;San Ignacio;San Ignacio;;San Ignacio;;;;;;;;;
PROV2318;Robor?Robore;Robore;;Robore;;;;;;;;;
PROV2319;Ixiamas;;;;;;;;;;;;;
PROV2320;Riberalta;Riberalta;Riberalta;;Riberalta;;;;;;;;;
PROV2321;Cobija;Cobija;Cobija;;Cobija;;;;;;;;;
PROV2322;Copiap?Copiapo;Copiapo;;Copiap?;;;;;;;;
PROV2323;La Serena;La Serena;La Serena;;La Serena;;;;;;;;;
PROV2324;Santiago;Santiago;Santiago;;Santiago;;;;;;;;;
PROV2325;Valpara疄o;Valparaiso;Valparaiso;;Valpara疄o;;;;;;;;;
PROV2327;Talca;Talca;Talca;;Talca;;;;;;;;;
PROV2328;Valdivia;Valdivia;Valdivia;;Valdivia;;;;;;;;;
PROV2330;Cauquenes;Cauquenes;Cauquenes;;Cauquenes;;;;;;;;;
PROV2331;Chill嫕;Chillan;Chillan;;Chill嫕;;;;;;;;;
PROV2332;Osorno;Osorno;Osorno;;Osorno;;;;;;;;;
PROV2333;Puerto Ais幯;Puerto Aisen;Puerto Aisen;;Puerto Aisen;;;;;;;;;
PROV2334;Punta Arenas;Punta Arenas;Punta Arenas;;Punta Arenas;;;;;;;;;
PROV2335;Porvenir;Porvenir;Porvenir;;Porvenir;;;;;;;;;
PROV2336;Easter Island;姤e de P滸ues;Osterinsel;;Isla de Pascua;;;;;;;;;
PROV2337;Fortin Falcon;Fortin Falcon;Fortin Falcon;;Fort璯 Falc鏮;;;;;;;;;
PROV2338;Puerto Guaran?Puerto Guarani;Puerto Guarani;;Puerto Guaran?;;;;;;;;
PROV2339;Asuncion;Asunci鏮;Asuncion;;Asunci鏮;;;;;;;;;
PROV2340;Pilar;Pilar;Pilar;;Pilar;;;;;;;;;
PROV2341;Encarnaci鏮;Encarnaci鏮;Encarnacion;;Encarnaci鏮;;;;;;;;;
PROV2342;San Pedro;San Pedro;San Pedro;;San Pedro;;;;;;;;;
PROV2343;Concepci鏮;Concepci鏮;Concepcion;;Concepci鏮;;;;;;;;;
PROV2344;Montevideo;Montevideo;Montevideo;;Montevideo;;;;;;;;;
PROV2345;Paysand?Paysand?Paysandu;;Paysand?;;;;;;;;
PROV2346;Tacuaremb?Tacuarembo;Tacuarembo;;Tacuarembo;;;;;;;;;
PROV2347;Melo;Melo;Melo;;Melo;;;;;;;;;
PROV2348;Buenos Aires;Buenos Aires;Buenos Aires;;Buenos Aires;;;;;;;;;
PROV2349;Jun璯;Junin;Junin;;Jun璯;;;;;;;;;
PROV2350;Azul;Azul;Azul;;Azul;;;;;;;;;
PROV2352;Mar del Plata;Mar del Plata;Mar del Plata;;Mar del Plata;;;;;;;;;
PROV2353;Trenque Lauquen;Trenque Lauquen;Trenque Lauquen;;Trenque Lauquen;;;;;;;;;
PROV2354;Bah燰 Blanca;Bahia Blanca;Bahia Blanca;;Bah燰 Blanca;;;;;;;;;
PROV2355;Carmen;Carmen;Carmen;;Carmen;;;;;;;;;
PROV2356;Corrientes;Corrientes;Corrientes;;Corrientes;;;;;;;;;
PROV2357;Curuz?Cuati?Curuz?Cuati?Curuzu Cuatia;;Curuzu Cuatia;;;;;;;;;
PROV2358;Santo Tom嫳;Santo Tom嫳;Santo Tomas;;Santo Tom嫳;;;;;;;;;
PROV2359;Col鏮;Col鏮;Colon;;Col鏮;;;;;;;;;
PROV2360;Paran?Parana;Parana;;Paran?;;;;;;;;
PROV2361;Sancti Spiritu;Santa Espiritu;Santa Espiritu;;Esp甏itu Santo;;;;;;;;;
PROV2362;Reconquista;Reconquista;Reconquista;;Reconquista;;;;;;;;;
PROV2363;Rosario;Rosario;Rosario;;Rosario;;;;;;;;;
PROV2364;Resistencia;Resistencia;Resistencia;;Resistencia;;;;;;;;;
PROV2365;Villa 聲gela;Villa Angela;Villa Angela;;Villa 聲gela;;;;;;;;;
PROV2366;Formosa;Formosa;Formosa;;Formosa;;;;;;;;;
PROV2368;Salta;Salta;Salta;;Salta;;;;;;;;;
PROV2369;Jujuy;Jujuy;Jujuy;;Jujuy;;;;;;;;;
PROV2370;Cochinoca;Cochinoca;Cochinoca;;Cochinoca;;;;;;;;;
PROV2372;Rivadavia;Rivadavia;Rivadavia;;Rivadavia;;;;;;;;;
PROV2373;Tucum嫕;Tucuman;Tucuman;;Tucum嫕;;;;;;;;;
PROV2374;Catamarca;Catamarca;Catamarca;;Catamarca;;;;;;;;;
PROV2375;Vinchina;Vinchina;Vinchina;;Vinchina;;;;;;;;;
PROV2376;Santiago del Estero;Santiago del Estero;Santiago del Estero;;Santiago del Estero;;;;;;;;;
PROV2377;A鎙tuya;Anatuya;Anatuya;;Anatuya;;;;;;;;;
PROV2378;Mail璯;Mailin;Mailin;;Mail璯;;;;;;;;;
PROV2379;C鏎doba de Argentina;C鏎doba;Cordoba de Argentina;;Cordoba de Argentina;;;;;;;;;
PROV2380;Villa Nueva;Villa Nueva;Villa Nueva;;Villa Nueva;;;;;;;;;
PROV2381;R甐 Cuarto;Rio Cuarto;Rio Cuarto;;R甐 Cuarto;;;;;;;;;
PROV2383;San Luis;San Luis;San Luis;;San Luis;;;;;;;;;
PROV2384;Mercedes;Mercedes;Mercedes;;Mercedes;;;;;;;;;
PROV2385;La Rioja;Rioja;La Rioja;;La Rioja;;;;;;;;;
PROV2386;Santa Rita;Santa Rita;Santa Rita;;Santa Rita;;;;;;;;;
PROV2387;San Juan;San Juan;San Juan;;San Juan;;;;;;;;;
PROV2388;Calingasta;Calingasta;Calingasta;;Calingasta;;;;;;;;;
PROV2389;Mendoza;Mendoza;Mendoza;;Mendoza;;;;;;;;;
PROV2390;San Rafael;San Rafael;San Rafael;;San Rafael;;;;;;;;;
PROV2391;Neuqu幯;Neuqu幯;Neuqu幯;;Neuqu幯;;;;;;;;;
PROV2392;Viedma;Viedma;Viedma;;Viedma;;;;;;;;;
PROV2393;Tel幯;Telen;Telen;;Telen;;;;;;;;;
PROV2394;Bariloche;Bariloche;Bariloche;;Bariloche;;;;;;;;;
PROV2395;Curac?Curaco;Curaco;;Curaco;;;;;;;;;
PROV2396;Rawson;Rawson;Rawson;;Rawson;;;;;;;;;
PROV2397;Sarmiento;Esquel;Esquel;;Esquel;;;;;;;;;
PROV2398;Puerto Deseado;Puerto Deseado;Puerto Deseado;;Puerto Deseado;;;;;;;;;
PROV2399;R甐 Gallegos;Rio Gallegos;Rio Gallegos;;R甐 Gallegos;;;;;;;;;
PROV2400;R甐 Grande;Rio Grande;Rio Grande;;R甐 Grande;;;;;;;;;
PROV2401;Marabitanas;Marabitanas;Marabitanas;;Marabitanas;;;;;;;;;
PROV2402;Manaus;Manaus;Manaus;;Manaos;;;;;;;;;
PROV2403;Cachoeira;Cachoeira;Cachoeira;;Cachoeira;;;;;;;;;
PROV2404;Tefe;Tefe;Tefe;;Tef?;;;;;;;;
PROV2405;Borba;Borba;Borba;;Borba;;;;;;;;;
PROV2407;Tabatinga;Tabatinga;Tabatinga;;Tabatinga;;;;;;;;;
PROV2408;Oriximina;Oriximina;Oriximina;;Oriximina;;;;;;;;;
PROV2409;Saint Vincent;Saint Vincent;Saint Vincent;;San Vincente;;;;;;;;;
PROV2410;Bel幦;Belem;Belem;;Bel幦;;;;;;;;;
PROV2411;Santar幦;Santarem;Santarem;;Santar幦;;;;;;;;;
PROV2412;羒idos;Obidos;Obidos;;羒idos;;;;;;;;;
PROV2413;Marab?Maraba;Maraba;;Maraba;;;;;;;;;
PROV2415;Macap?Macapa;Macapa;;Macap?;;;;;;;;
PROV2416;Dourados;Dourados;Dourados;;Dourados;;;;;;;;;
PROV2417;Vila Bela;Vila Bela;Vila Bela;;Vila Bela;;;;;;;;;
PROV2418;Cuiab?Cuiaba;Cuiaba;;Cuiab?;;;;;;;;
PROV2419;Corumb?Corumba;Corumba;;Corumba;;;;;;;;;
PROV2420;Iguatemi;Iguatemi;Iguatemi;;Iguatemi;;;;;;;;;
PROV2421;Vila Boa;Vila Boa;Vila Boa;;Vila Boa;;;;;;;;;
PROV2422;Aganja;Aganja;Aganja;;Aganja;;;;;;;;;
PROV2424;S緌 Lu疄;Sao Luis;Sao Luis;;Sao Luis;;;;;;;;;
PROV2425;Chapada;Chapada;Chapada;;Chapada;;;;;;;;;
PROV2427;Oeiras;Oeiras;Oeiras;;Oeiras;;;;;;;;;
PROV2428;Para燢a;Paraiba;Paraiba;;Para燢a;;;;;;;;;
PROV2429;Fortaleza;Fortaleza;Fortaleza;;Fortaleza;;;;;;;;;
PROV2430;Crato;Crato;Crato;;Crato;;;;;;;;;
PROV2431;Natal;Natal;Natal;;Natal;;;;;;;;;
PROV2432;Recife;Recife;Recife;;Recife;;;;;;;;;
PROV2433;Cabrobo;Cabrobo;Cabrobo;;Cabrobo;;;;;;;;;
PROV2434;Macei?Maceio;Maceio;;Macei?;;;;;;;;
PROV2435;Aracaju;Aracaju;Aracaju;;Aracaju;;;;;;;;;
PROV2437;Juazeiro;Juazeiro;Juazeiro;;Juazeiro;;;;;;;;;
PROV2438;Vila do Barra;Vila do Barra;Vila do Barra;;Vila do Barra;;;;;;;;;
PROV2439;Porto Seguro;Porto Seguro;Porto Seguro;;Porto Seguro;;;;;;;;;
PROV2440;Vit鏎ia da Conquista;Vitoria da Conquista;Vitoria da Conquista;;Vit鏎ia da Conquista;;;;;;;;;
PROV2441;Ouro Preto;Ouro Preto;Ouro Preto;;Ouro Preto;;;;;;;;;
PROV2445;Uberaba;Uberaba;Uberaba;;Uberaba;;;;;;;;;
PROV2446;S緌 Jo緌 del Rey;S緌 Jo緌 del-Rei;Sao Joao del Rey;;Sao Joao del Rey;;;;;;;;;
PROV2447;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;;R甐 de Janeiro;;;;;;;;;
PROV2448;Campos;Campos;Campos;;Campos;;;;;;;;;
PROV2449;Vit鏎ia;Vitoria;Vitoria;;Vit鏎ia;;;;;;;;;
PROV2450;S緌 Paulo;S緌 Paulo;Sao Paulo;;Sao Paulo;;;;;;;;;
PROV2451;Santos;Santos;Santos;;Santos;;;;;;;;;
PROV2452;Campinas;Campinas;Campinas;;Campinas;;;;;;;;;
PROV2453;Assis;Assis;Assis;;Assis;;;;;;;;;
PROV2454;Fiji;Fidji;Fidschi;;Islas Fiji;;;;;;;;;
PROV2455;Iguape;Iguape;Iguape;;Iguape;;;;;;;;;
PROV2456;Araraquara;Araraquara;Araraquara;;Araraquara;;;;;;;;;
PROV2457;Curitiba;Curitiba;Curitiba;;Curitiba;;;;;;;;;
PROV2458;Guarapuava;Guarapuava;Guarapuava;;Guarapuava;;;;;;;;;
PROV2459;Lajes;Lajes;Lajes;;Lajes;;;;;;;;;
PROV2460;Castro;Castro;Castro;;Castro;;;;;;;;;
PROV2461;Desterro;Desterro;Desterro;;Desterro;;;;;;;;;
PROV2462;S緌 Miguel;S緌 Miguel;Sao Miguel;;Sao Miguel;;;;;;;;;
PROV2463;Porto Alegre;Porto Alegre;Porto Alegre;;Porto Alegre;;;;;;;;;
PROV2464;Pelotas;Pelotas;Pelotas;;Pelotas;;;;;;;;;
PROV2465;Passo Fundo;Passo Fundo;Passo Fundo;;Passo Fundo;;;;;;;;;
PROV2466;Santa Maria;Santa Maria;Santa Maria;;Santa Mar燰;;;;;;;;;
PROV2467;Alegrete;Alegrete;Alegrete;;Alegrete;;;;;;;;;
PROV2468;Sydney;Sydney;Sydney;;Sydney;;;;;;;;;
PROV2469;Newcastle;Newcastle;Newcastle;;Newcastle;;;;;;;;;
PROV2470;Port Macquarie;Port Macquarie;Port Macquarie;;Port Macquarie;;;;;;;;;
PROV2472;Eden;Eden;Eden;;Ed幯;;;;;;;;;
PROV2473;Wagga Wagga;Wagga Wagga;Wagga Wagga;;Wagga Wagga;;;;;;;;;
PROV2474;Moree;Moree;Moree;;Moree;;;;;;;;;
PROV2475;Broken Hill;Broken Hill;Broken Hill;;Broken Hill;;;;;;;;;
PROV2476;Melbourne;Melbourne;Melbourne;;Melbourne;;;;;;;;;
PROV2477;Warmambool;Warmambool;Warmambool;;Warmambool;;;;;;;;;
PROV2478;Ballarat;Ballarat;Ballarat;;Ballarat;;;;;;;;;
PROV2479;Sale;Sale;Sale;;Sale;;;;;;;;;
PROV2480;Beechworth;Beechworth;Beechworth;;Beechworth;;;;;;;;;
PROV2481;Swan Hill;Swan Hill;Swan Hill;;Swan Hill;;;;;;;;;
PROV2483;Brisbane;Brisbane;Brisbane;;Brisbane;;;;;;;;;
PROV2484;Gladstone;Gladstone;Gladstone;;Gladstone;;;;;;;;;
PROV2485;Clermont;Clermont;Clermont;;Clermont;;;;;;;;;
PROV2486;Toowoomba;Toowoomba;Toowoomba;;Toowoomba;;;;;;;;;
PROV2487;Townsville;Townsville;Townsville;;Townsville;;;;;;;;;
PROV2488;Cooktown;Cooktown;Cooktown;;Cooktown;;;;;;;;;
PROV2489;Longreach;Longreach;Longreach;;Longreach;;;;;;;;;
PROV2490;Charleville;Charleville;Charleville;;Charleville;;;;;;;;;
PROV2491;Adelaide;Adelaide;Adelaide;;Adelaida;;;;;;;;;
PROV2492;Port Lincoln;Port Lincoln;Port Lincoln;;Port Lincoln;;;;;;;;;
PROV2493;Robe;Robe;Robe;;Robe;;;;;;;;;
PROV2494;Port Augusta;Port Augusta;Port Augusta;;Port Augusta;;;;;;;;;
PROV2497;Perth;Perth;Perth;;Perth;;;;;;;;;
PROV2498;Kojonup;Kojonup;Kojonup;;Kojonup;;;;;;;;;
PROV2499;Geraldton;Geraldton;Geraldton;;Geraldton;;;;;;;;;
PROV2500;Kalgoorlie;Kalgoorlie;Kalgoorlie;;Kalgoorlie;;;;;;;;;
PROV2501;Broome;Broome;Broome;;Broome;;;;;;;;;
PROV2502;Dampier;Dampier;Dampier;;Dampier;;;;;;;;;
PROV2503;Wiluna;Wiluna;Wiluna;;Wiluna;;;;;;;;;
